epoch,loss,val_loss,accuracy,val_accuracy
1,1.1059,1.0763,0.3768,0.4082
2,1.0650,1.0563,0.4010,0.3367
3,1.0154,1.0004,0.4734,0.5102
4,0.9563,1.1030,0.5507,0.3776
5,0.9892,1.0092,0.5556,0.3776
6,0.9392,0.9333,0.5121,0.4796
7,0.8502,0.8359,0.6280,0.6020
8,0.8151,0.8272,0.6522,0.5918
9,0.8304,0.8183,0.6184,0.6429
10,0.8133,0.8620,0.5942,0.5612
11,0.8367,0.7638,0.6425,0.6327
12,0.7446,0.7787,0.7005,0.6224
13,0.6675,0.9791,0.7488,0.5000
14,0.7523,0.7623,0.6812,0.6020
15,0.7585,0.9174,0.6667,0.5510
16,0.5692,0.7377,0.7729,0.6327
17,0.5936,0.7292,0.7440,0.6429
18,0.6002,0.7350,0.7488,0.6020
19,0.5202,0.9886,0.8019,0.6020
20,0.5681,0.6695,0.7536,0.6837
21,0.4454,0.9458,0.8164,0.6122
22,0.4156,0.7898,0.8309,0.6633
23,0.4110,0.7488,0.8454,0.6531
24,0.4280,0.6793,0.8357,0.6633
25,0.3156,0.7365,0.8889,0.6939
26,0.3273,0.7080,0.8986,0.6633
27,0.2954,0.6620,0.8937,0.7449
28,0.2991,0.6342,0.8889,0.7143
29,0.2357,0.6622,0.9275,0.6939
30,0.2117,0.6518,0.9420,0.7143
31,0.2339,0.8443,0.9034,0.6531
32,0.2433,0.6599,0.9082,0.7347
33,0.1991,0.6458,0.9227,0.7143
34,0.2191,0.6324,0.9130,0.7347
35,0.2030,0.6469,0.9420,0.7755
36,0.2257,0.6404,0.9324,0.7143
37,0.1815,0.6276,0.9614,0.7653
38,0.1474,0.6357,0.9662,0.7551
39,0.1671,0.6335,0.9372,0.7449
40,0.1819,0.6731,0.9565,0.7449
41,0.1770,0.6656,0.9372,0.7551
42,0.2203,0.6529,0.9275,0.7449
43,0.1468,0.6323,0.9517,0.7551
44,0.1992,0.6575,0.9082,0.7449
45,0.1706,0.6437,0.9469,0.7551
46,0.2197,0.6448,0.9275,0.7551
