epoch,loss,accuracy,val_loss,val_accuracy,val_auc
0,0.6938,50.0000,0.6995,31.1690,0.5530
2,0.6930,50.0000,0.6968,31.1690,0.5970
4,0.6924,50.0000,0.6951,31.1690,0.5970
6,0.6928,51.1900,0.6953,31.1690,0.5990
8,0.6916,50.7140,0.6915,59.7400,0.6060
10,0.6905,57.8570,0.6896,63.6360,0.6140
12,0.6874,58.0950,0.6927,46.7530,0.6680
14,0.6838,60.0000,0.6947,42.8570,0.6640
16,0.6770,61.4290,0.6687,68.8310,0.6830
18,0.6663,66.6670,0.7178,35.0650,0.7080
20,0.6499,65.7140,0.6923,53.2470,0.6970
22,0.6352,71.4290,0.6494,64.9350,0.7070
24,0.6038,70.7140,0.5972,70.1300,0.7320
26,0.5659,73.0950,0.6197,67.5320,0.7550
28,0.5367,74.5240,0.5982,67.5320,0.7670
30,0.5167,75.9520,0.5144,76.6230,0.7740
32,0.4681,80.2380,0.5013,76.6230,0.7980
34,0.4487,82.1430,0.5171,74.0260,0.8030
36,0.4608,78.8100,0.4998,74.0260,0.8240
38,0.4303,81.9050,0.5264,77.9220,0.8370
40,0.4041,82.3810,0.6147,75.3250,0.8550
42,0.3630,85.4760,0.4816,77.9220,0.8410
44,0.3832,84.5240,0.4551,79.2210,0.8550
46,0.3482,85.4760,0.5101,77.9220,0.8590
48,0.3372,86.1900,0.6341,72.7270,0.8660
50,0.3436,84.5240,0.4742,79.2210,0.8620
52,0.3188,86.1900,0.5489,79.2210,0.8640
54,0.3117,86.6670,0.4993,77.9220,0.8630
56,0.2678,88.8100,0.4485,80.5190,0.8600
58,0.2771,89.0480,0.4686,80.5190,0.8660
60,0.2391,90.4760,0.4911,77.9220,0.8720
62,0.2864,87.8570,0.4464,77.9220,0.8690
64,0.2468,89.0480,0.5313,81.8180,0.8670
66,0.2519,89.0480,0.7040,70.1300,0.8670
68,0.2581,88.8100,0.4991,80.5190,0.8730
70,0.1963,93.0950,0.5198,79.2210,0.8730
72,0.2446,90.2380,0.4689,80.5190,0.8650
74,0.2044,91.9050,0.5674,79.2210,0.8660
76,0.2140,91.9050,0.7741,70.1300,0.8710
78,0.2190,90.7140,0.5391,79.2210,0.8720
80,0.2047,91.6670,0.6149,77.9220,0.8730
82,0.2006,91.6670,0.6072,80.5190,0.8730
84,0.1775,92.8570,0.5532,77.9220,0.8660
86,0.1766,93.8100,0.5633,79.2210,0.8730
88,0.1972,91.9050,0.5689,80.5190,0.8750
90,0.1940,91.1900,0.6131,79.2210,0.8740
92,0.1792,94.5240,0.5879,77.9220,0.8760
94,0.1818,92.1430,0.6783,77.9220,0.8710
96,0.1791,93.8100,0.6658,76.6230,0.8800
98,0.1651,92.1430,0.5791,77.9220,0.8690
100,0.1775,93.5710,0.5914,77.9220,0.8690
102,0.1706,92.8570,0.7329,79.2210,0.8730
104,0.1683,93.8100,0.7327,77.9220,0.8730
106,0.1710,92.6190,0.7863,79.2210,0.8690
108,0.1716,92.3810,0.5959,76.6230,0.8650
110,0.1475,95.7140,0.7515,76.6230,0.8730
112,0.1428,94.5240,0.6403,77.9220,0.8670
114,0.1549,94.2860,0.6224,76.6230,0.8610
116,0.1407,95.0000,0.7822,74.0260,0.8690
118,0.1236,95.7140,0.7958,76.6230,0.8690
120,0.1393,95.0000,0.6827,77.9220,0.8690
122,0.1273,95.4760,0.7239,77.9220,0.8630
124,0.1412,94.7620,0.7608,77.9220,0.8690
126,0.1308,95.4760,0.6584,79.2210,0.8630
128,0.1256,95.7140,0.6960,79.2210,0.8610
130,0.1276,94.5240,0.6939,80.5190,0.8540
132,0.1158,95.0000,0.7595,77.9220,0.8610
134,0.1096,95.4760,0.6853,77.9220,0.8630
136,0.1285,95.0000,0.7350,79.2210,0.8580
138,0.1061,96.1900,0.6970,79.2210,0.8660
140,0.0823,97.6190,0.7545,76.6230,0.8650
142,0.0993,95.9520,0.7974,77.9220,0.8580
144,0.0798,98.0950,0.7069,79.2210,0.8650
146,0.0670,98.3330,0.7364,77.9220,0.8650
148,0.0884,97.6190,0.6657,80.5190,0.8440
150,0.0844,95.7140,0.7862,79.2210,0.8700
152,0.0913,96.9050,0.9959,72.7270,0.8620
154,0.1071,94.5240,0.7343,76.6230,0.8680
156,0.0712,97.6190,0.7494,77.9220,0.8620
158,0.0759,97.3810,0.8151,77.9220,0.8630
160,0.0807,96.1900,0.7751,80.5190,0.8580
162,0.0503,99.0480,0.8049,76.6230,0.8610
164,0.0844,97.8570,0.7954,76.6230,0.8620
166,0.0715,96.4290,0.7856,79.2210,0.8600
168,0.0842,97.1430,0.8282,76.6230,0.8590
170,0.0668,96.9050,0.8244,75.3250,0.8520
172,0.0700,97.8570,0.8312,77.9220,0.8600
