epoch,loss,accuracy,val_loss,val_accuracy
0,1.09912,30.747,1.09745,36.735
2,1.09876,33.333,1.09693,51.02
4,1.09836,35.632,1.09716,48.98
6,1.09805,34.77,1.0966,48.98
8,1.09786,35.057,1.09618,33.673
10,1.09692,37.931,1.0951,30.612
12,1.09593,33.333,1.09053,31.633
14,1.09475,37.644,1.08988,24.49
16,1.09226,37.356,1.08979,26.531
18,1.09044,38.218,1.0846,27.551
20,1.08677,38.793,1.08446,30.612
22,1.0814,40.517,1.07061,27.551
24,1.07746,40.517,1.07125,29.592
26,1.0728,39.08,1.07084,28.571
28,1.06347,42.529,1.05377,31.633
30,1.05889,42.816,1.0508,37.755
32,1.0411,44.54,1.03838,43.878
34,1.03089,45.115,1.06646,25.51
36,1.02249,47.126,1.01799,36.735
38,1.01231,47.126,1.01751,39.796
40,0.99596,49.138,1.00187,37.755
42,0.9891,50,0.9984,47.959
44,0.95817,53.161,1.0286,30.612
46,0.95675,50,0.99048,48.98
48,0.93581,52.011,0.96596,44.898
50,0.94917,51.149,0.9635,40.816
52,0.91996,52.011,0.95198,46.939
54,0.95009,48.563,0.95496,46.939
56,0.92519,53.448,0.9523,52.041
58,0.93705,48.851,0.96804,44.898
60,0.90656,54.31,0.95697,46.939
62,0.9124,54.31,0.9385,45.918
64,0.90067,55.747,0.97267,44.898
66,0.88695,56.034,0.94677,48.98
68,0.88912,53.736,0.95043,46.939
70,0.88841,54.598,0.98429,40.816
72,0.87991,53.161,0.92747,52.041
74,0.87186,54.023,0.97479,44.898
76,0.88243,54.31,0.9248,48.98
78,0.87127,56.897,0.91996,51.02
80,0.856,55.747,0.90532,55.102
82,0.87093,54.885,0.9284,51.02
84,0.86884,55.172,0.9115,53.061
86,0.8669,53.448,0.9068,50
88,0.87982,51.724,1.02817,45.918
90,0.8343,58.621,0.9587,46.939
92,0.82008,58.046,0.90378,53.061
94,0.84977,57.184,0.95106,51.02
96,0.85534,54.598,0.94413,52.041
98,0.83787,58.333,0.92386,53.061
100,0.83022,57.471,0.9709,46.939
102,0.81746,61.494,0.93696,48.98
104,0.83751,57.184,0.91304,57.143
106,0.80234,59.77,0.89185,48.98
108,0.81018,59.77,0.89413,59.184
110,0.79243,62.931,0.91294,47.959
112,0.81358,58.333,0.94168,51.02
114,0.79833,60.057,0.8898,58.163
116,0.79913,59.483,0.88971,50
118,0.78371,61.782,0.92935,54.082
120,0.77583,58.908,0.89219,58.163
122,0.77768,59.195,0.89093,63.265
124,0.78068,61.494,0.88293,53.061
126,0.77303,59.77,0.90137,61.224
128,0.74129,63.506,0.899,61.224
130,0.7604,61.207,1.03968,51.02
132,0.7526,60.345,0.92523,58.163
134,0.75264,61.782,0.96302,55.102
136,0.74535,60.345,0.89681,60.204
138,0.76251,61.494,1.02123,50
140,0.73413,66.092,0.87311,52.041
142,0.76058,61.207,0.8765,62.245
144,0.72542,63.218,0.87253,61.224
146,0.73589,63.506,0.90459,60.204
148,0.71938,64.368,0.8767,63.265
150,0.72571,63.506,0.90765,58.163
152,0.71211,63.793,0.93984,62.245
154,0.73465,62.644,1.00947,50
156,0.71609,62.931,0.91741,59.184
158,0.72593,64.08,0.94793,52.041
160,0.74602,61.494,0.91585,61.224
162,0.72864,60.057,0.99018,57.143
164,0.7071,64.08,0.8627,61.224
166,0.67222,64.655,0.88517,64.286
168,0.68467,64.08,0.86564,60.204
170,0.67931,66.667,0.90359,62.245
172,0.70424,65.805,1.04736,47.959
174,0.68212,65.517,0.89483,57.143
176,0.68778,63.793,0.91861,60.204
178,0.67695,66.667,0.96915,56.122
180,0.67351,70.402,0.8673,62.245
