epoch,loss,val_loss,accuracy,val_accuracy,val_auc
0,0.6934,0.6852,50.0000,69.6200,0.5340
2,0.6934,0.6862,50.0000,69.6200,0.5620
4,0.6935,0.6871,50.0000,69.6200,0.5170
6,0.6932,0.6874,50.0000,69.6200,0.5690
8,0.6931,0.6881,50.0000,69.6200,0.5360
10,0.6933,0.6884,50.0000,69.6200,0.5210
12,0.6933,0.6889,49.1380,69.6200,0.5490
14,0.6930,0.6889,50.0000,69.6200,0.5440
16,0.6929,0.6890,50.0000,69.6200,0.5000
18,0.6932,0.6893,50.4310,69.6200,0.4860
20,0.6930,0.6889,50.8620,69.6200,0.4810
22,0.6930,0.6894,50.4310,69.6200,0.5260
24,0.6930,0.6885,51.2930,69.6200,0.5570
26,0.6929,0.6877,50.8620,69.6200,0.5860
28,0.6927,0.6872,50.0000,69.6200,0.5540
30,0.6927,0.6880,51.2930,69.6200,0.5350
32,0.6926,0.6884,51.7240,65.8230,0.5390
34,0.6925,0.6866,52.1550,69.6200,0.5390
36,0.6921,0.6874,51.2930,68.3540,0.5510
38,0.6919,0.6881,52.1550,56.9620,0.5250
40,0.6920,0.6870,54.7410,58.2280,0.5210
42,0.6923,0.6873,56.8970,46.8350,0.5270
44,0.6909,0.6870,52.1550,46.8350,0.5400
46,0.6909,0.6846,54.3100,56.9620,0.5520
48,0.6908,0.6854,53.0170,54.4300,0.5440
50,0.6901,0.6823,57.7590,62.0250,0.5330
52,0.6898,0.6851,54.3100,51.8990,0.5270
54,0.6894,0.6849,54.7410,50.6330,0.5230
56,0.6891,0.6840,54.3100,53.1650,0.5180
58,0.6885,0.6819,55.6030,53.1650,0.5090
60,0.6881,0.6813,53.8790,55.6960,0.5220
62,0.6869,0.6815,53.8790,51.8990,0.5250
64,0.6894,0.6725,53.0170,67.0890,0.5410
66,0.6866,0.6803,56.0340,55.6960,0.5350
68,0.6874,0.6813,52.1550,50.6330,0.5480
70,0.6853,0.6780,55.6030,58.2280,0.5420
72,0.6830,0.6704,55.6030,63.2910,0.5630
74,0.6845,0.6783,55.1720,55.6960,0.5580
76,0.6857,0.6788,57.3280,55.6960,0.5630
78,0.6811,0.6624,56.0340,67.0890,0.5550
80,0.6827,0.6722,58.6210,58.2280,0.5700
82,0.6796,0.6678,58.1900,62.0250,0.5860
84,0.6791,0.6784,58.6210,50.6330,0.5960
86,0.6754,0.6677,60.3450,62.0250,0.5970
88,0.6720,0.6761,56.8970,53.1650,0.6130
